epoch,batch,loss,dec_params_norm
0,0,8.22584056854248,21.126304626464844
0,1,8.190007209777832,21.127296447753906
0,2,8.12610912322998,21.128564834594727
0,3,8.100348472595215,21.12897300720215
0,4,8.088217735290527,21.129077911376953
0,5,8.079203605651855,21.128704071044922
0,6,8.069548606872559,21.12819480895996
0,7,8.061909675598145,21.127742767333984
0,8,8.054436683654785,21.127368927001953
0,9,8.048030853271484,21.1270694732666
1,0,8.043694496154785,21.12682342529297
1,1,8.040420532226562,21.126672744750977
1,2,8.036768913269043,21.126665115356445
1,3,8.032976150512695,21.126747131347656
1,4,8.028526306152344,21.126901626586914
1,5,8.024117469787598,21.127140045166016
1,6,8.0199556350708,21.12744903564453
1,7,8.016325950622559,21.1278018951416
1,8,8.013712882995605,21.128202438354492
1,9,8.011672973632812,21.128664016723633
2,0,8.00967025756836,21.129159927368164
2,1,8.008150100708008,21.12966537475586
2,2,8.00690746307373,21.130146026611328
2,3,8.005489349365234,21.130640029907227
2,4,8.004060745239258,21.131093978881836
2,5,8.002114295959473,21.13151741027832
2,6,8.000467300415039,21.13188934326172
2,7,7.998563766479492,21.132261276245117
2,8,7.9970927238464355,21.13259506225586
2,9,7.995384216308594,21.132938385009766
3,0,7.994014739990234,21.13327407836914
3,1,7.992977142333984,21.13365364074707
3,2,7.99171257019043,21.133995056152344
3,3,7.990514755249023,21.134361267089844
3,4,7.98953104019165,21.134719848632812
3,5,7.988238334655762,21.135112762451172
3,6,7.987150192260742,21.135526657104492
3,7,7.985811710357666,21.135936737060547
3,8,7.9846978187561035,21.136323928833008
3,9,7.983346939086914,21.136730194091797
4,0,7.982061386108398,21.137134552001953
4,1,7.9810614585876465,21.137514114379883
4,2,7.9801025390625,21.137882232666016
4,3,7.979008674621582,21.138256072998047
4,4,7.977927207946777,21.13865089416504
4,5,7.976944923400879,21.139114379882812
4,6,7.975827693939209,21.139568328857422
4,7,7.975011825561523,21.140047073364258
4,8,7.973942279815674,21.140586853027344
4,9,7.973312854766846,21.141185760498047
5,0,7.972207069396973,21.1418399810791
5,1,7.971360206604004,21.14252471923828
5,2,7.970498561859131,21.14322853088379
5,3,7.969955921173096,21.14398956298828
5,4,7.96898889541626,21.144784927368164
5,5,7.968217372894287,21.145553588867188
5,6,7.967739582061768,21.14629554748535
5,7,7.966646671295166,21.147022247314453
5,8,7.966070175170898,21.147729873657227
5,9,7.965530872344971,21.14840316772461
6,0,7.964890956878662,21.14902687072754
6,1,7.96408224105835,21.149595260620117
6,2,7.963334083557129,21.150129318237305
6,3,7.962892055511475,21.150667190551758
6,4,7.962052822113037,21.15118980407715
6,5,7.961161136627197,21.151710510253906
6,6,7.960590839385986,21.152189254760742
6,7,7.9602580070495605,21.152673721313477
6,8,7.959571361541748,21.15311622619629
6,9,7.958802223205566,21.15352439880371
7,0,7.958310604095459,21.15393829345703
7,1,7.957521915435791,21.15433120727539
7,2,7.956969261169434,21.15468406677246
7,3,7.956269264221191,21.15501594543457
7,4,7.955864906311035,21.155336380004883
7,5,7.955194473266602,21.15560531616211
7,6,7.954511642456055,21.155805587768555
7,7,7.953941345214844,21.15598487854004
7,8,7.953275203704834,21.156116485595703
7,9,7.952434062957764,21.156166076660156
8,0,7.951854228973389,21.156147003173828
8,1,7.951438903808594,21.15606117248535
8,2,7.951072692871094,21.155908584594727
8,3,7.950417995452881,21.155668258666992
8,4,7.949864387512207,21.15535545349121
8,5,7.949281215667725,21.155000686645508
8,6,7.94872522354126,21.154565811157227
8,7,7.948410511016846,21.154083251953125
8,8,7.947663307189941,21.153554916381836
8,9,7.9474196434021,21.15301513671875
9,0,7.946865558624268,21.152446746826172
9,1,7.946370601654053,21.151870727539062
9,2,7.945805549621582,21.15125846862793
9,3,7.9456048011779785,21.15064239501953
9,4,7.9451212882995605,21.1500186920166
9,5,7.94449520111084,21.149425506591797
9,6,7.944182395935059,21.148799896240234
9,7,7.943828105926514,21.148176193237305
9,8,7.943629741668701,21.147565841674805
9,9,7.942917346954346,21.146970748901367
