epoch,batch,loss,enc_norm,dec_norm
0,0,0.9949944349814283,6.094241619110107,6.051795959472656
0,1,0.9924969778770683,6.089671611785889,6.046954154968262
0,2,0.9895369641765022,6.08632230758667,6.042879581451416
0,3,0.9861461818731585,6.083608627319336,6.040338516235352
0,4,0.9823552226627607,6.081686496734619,6.039137840270996
0,5,0.9781989742942014,6.080528259277344,6.039219379425049
0,6,0.9737196884819159,6.080000877380371,6.040474891662598
0,7,0.9689653391890457,6.0799784660339355,6.042840480804443
0,8,0.9639878823090167,6.080219268798828,6.046321868896484
0,9,0.9588422209938255,6.080512046813965,6.050888538360596
1,0,0.9535843968077732,6.0808587074279785,6.056468963623047
1,1,0.9482694213557178,6.081295490264893,6.0629963874816895
1,2,0.9429462982522929,6.081742286682129,6.070404529571533
1,3,0.9376511349264522,6.0820631980896,6.078606128692627
1,4,0.932402913179812,6.082120418548584,6.087510108947754
1,5,0.9272043261772717,6.081799030303955,6.097034931182861
1,6,0.9220463669010099,6.081013202667236,6.107091903686523
1,7,0.9169134215198609,6.079710006713867,6.117578029632568
1,8,0.9117871175160303,6.077874660491943,6.128392219543457
1,9,0.9066488690957464,6.075521945953369,6.139432430267334
2,0,0.9014814187023446,6.072694778442383,6.150579452514648
2,1,0.8962699117530782,6.0694661140441895,6.16168737411499
2,2,0.891002174341729,6.065945625305176,6.172585964202881
2,3,0.8856685922481105,6.062273025512695,6.183096408843994
2,4,0.8802619560578755,6.058597564697266,6.193063735961914
2,5,0.8747780130786138,6.055050849914551,6.202375411987305
2,6,0.8692164869316278,6.051731586456299,6.210966110229492
2,7,0.86358175976405,6.048702716827393,6.2188029289245605
2,8,0.8578822790266951,6.046008586883545,6.2258806228637695
2,9,0.852128694143277,6.043704509735107,6.232202529907227
3,0,0.8463314688987627,6.041864395141602,6.237766742706299
3,1,0.8404994872277082,6.0405731201171875,6.242560386657715
3,2,0.8346391480093542,6.039917945861816,6.246574401855469
3,3,0.8287549778435641,6.039976119995117,6.2498321533203125
3,4,0.8228516320511674,6.040826320648193,6.252402305603027
3,5,0.8169359900597646,6.042551517486572,6.254402160644531
3,6,0.8110169695982868,6.045234203338623,6.255978107452393
3,7,0.8051029664122004,6.048940181732178,6.257291793823242
3,8,0.7991998157977058,6.0536980628967285,6.258503437042236
3,9,0.7933102405641349,6.059486389160156,6.259764671325684
